department,position,scale_point,annual_rat(€)
INFORMATION_TECHNOLOGY,TEMPORARY_COMPUTER_ASSISTANT,9,"38,428"


#TECHNICAL

TECHNICAL,CHIEF_TECHNICAL_OFFICER,1,"64,838"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,2,"67,536"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,3,"70,205"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,4,"72,948"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,5,"75,821"
TECHNICAL,CHIEF_TECHNICAL_OFFICER,6,"78,621"

TECHNICAL,TECHNICAL_OFFICER,1,"39,828"
TECHNICAL,TECHNICAL_OFFICER,2,"41,606"
TECHNICAL,TECHNICAL_OFFICER,3,"43,745"
TECHNICAL,TECHNICAL_OFFICER,4,"45,033"
TECHNICAL,TECHNICAL_OFFICER,5,"46,408"
TECHNICAL,TECHNICAL_OFFICER,6,"49,325"
TECHNICAL,TECHNICAL_OFFICER,7,"51,251"
TECHNICAL,TECHNICAL_OFFICER,8,"53,228"
TECHNICAL,TECHNICAL_OFFICER,9,"55,376"
TECHNICAL,TECHNICAL_OFFICER,10,"57,459"

#SPECIAL SCALE

TECHNICAL,SENIOR_TECHNICAL_OFFICER,11,"60,654"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,12,"62,799"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,13,"65,107"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,14,"67,470"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,15,"69,827"
TECHNICAL,SENIOR_TECHNICAL_OFFICER,16,"71,290"

TECHNICAL,SENIOR_LAB_ATTENDANT,1,"38,443"
TECHNICAL,SENIOR_LAB_ATTENDANT,2,"38,970"
TECHNICAL,SENIOR_LAB_ATTENDANT,3,"39,512"
TECHNICAL,SENIOR_LAB_ATTENDANT,4,"40,040"
TECHNICAL,SENIOR_LAB_ATTENDANT,5,"40,229"

TECHNICAL,LABORATORY_ATTENDANT,1,"33,403"
TECHNICAL,LABORATORY_ATTENDANT,2,"34,543"
TECHNICAL,LABORATORY_ATTENDANT,3,"36,604"
TECHNICAL,LABORATORY_ATTENDANT,4,"36,966"
TECHNICAL,LABORATORY_ATTENDANT,5,"36,989"
TECHNICAL,LABORATORY_ATTENDANT,6,"37,352"
TECHNICAL,LABORATORY_ATTENDANT,7,"37,714"
TECHNICAL,LABORATORY_ATTENDANT,8,"38,072"
